id,name,age,address,cell phone,hobby,color
1,한시우,35,부산 흥덕구 123-45,010-5508-2618,일기 쓰기,무소속
2,김도윤,29,세종 신제주 123-45,010-8006-1832,일기 쓰기,국민의 힘
3,박유진,43,울산 서구 123-45,010-6193-6112,유튜브 보기,국민의 힘
4,오유진,53,세종 장유동 123-45,010-1080-5944,유튜브 보기,민주당
5,서유진,27,부산 덕진구 123-45,010-2470-6793,유튜브 보기,무소속
6,이건우,38,제주 팔달구 123-45,010-2198-2090,뜨개질,국민의 힘
7,김시우,36,안양 송파구 123-45,010-4299-4460,자전거 타기,민주당
8,최예은,61,용인 덕진구 123-45,010-4906-8352,요리,개혁신당
9,김은우,45,세종 장유동 123-45,010-9877-7625,게임,개혁신당
10,강도윤,29,전주 서북구 123-45,010-2354-6100,음악감상,개혁신당
11,정소율,55,세종 기흥구 123-45,010-8691-3002,수영,국민의 힘
12,임건우,37,안산 유성구 123-45,010-3857-3703,자전거 타기,무소속
13,최은우,70,성남 서구 123-45,010-3217-4460,여행,개혁신당
14,박수빈,28,세종 덕진구 123-45,010-4000-7047,게임,국민의 힘
15,임소율,25,울산 송파구 123-45,010-4810-6746,보드게임,개혁신당
16,조건우,55,부산 중구 123-45,010-6165-3516,웹서핑,민주당
17,임은우,36,대구 강남구 123-45,010-4252-1510,카페 투어,민주당
18,최건우,71,부산 서북구 123-45,010-3101-6769,웹서핑,개혁신당
19,신예린,29,인천 수성구 123-45,010-8039-6954,수영,무소속
20,이예린,58,남양주 흥덕구 123-45,010-2523-9776,웹서핑,무소속
21,오수빈,74,평택 서북구 123-45,010-4188-2688,자전거 타기,민주당
22,신소율,54,세종 강서구 123-45,010-6413-8448,웹서핑,무소속
23,장민수,32,안산 팔달구 123-45,010-9799-4305,사진촬영,개혁신당
24,박현우,66,천안 분당구 123-45,010-2494-1642,게임,국민의 힘
25,신은우,27,안양 유성구 123-45,010-6347-7011,보드게임,민주당
26,박민수,76,고양 덕양구 123-45,010-5436-6053,게임,개혁신당
27,이소율,41,남양주 송파구 123-45,010-1502-5309,음악감상,무소속
28,한지후,63,용인 강서구 123-45,010-7693-7316,운동,개혁신당
29,박지민,54,청주 일산동구 123-45,010-2723-3399,게임,민주당
30,서서준,61,인천 분당구 123-45,010-7677-4051,수영,국민의 힘
31,강예린,62,전주 남구 123-45,010-3446-6167,등산,민주당
32,장서준,46,광주 성북구 123-45,010-1198-8590,수영,민주당
33,장서연,54,서울 서구 123-45,010-3197-6420,영화감상,민주당
34,이민수,38,용인 성동구 123-45,010-2882-3257,요리,개혁신당
35,강지민,29,용인 북구 123-45,010-9190-1969,카페 투어,국민의 힘
